Number of instruction executed         -> 96
Total number of cycles                 -> 100
CPI                                    -> 1.04167
Total Number of stalls                 -> 4
Number of control Instructions         -> 30
Number of ALU Instructions             -> 44
Number of load/store Instructions      -> 18
Number of branch mispredictions        -> 4
Number of data hazards                 -> 37
Number of control hazards              -> 4
Number of stalls due to data hazards   -> 0
Number of stalls due to control hazards-> 4
