Number of instruction executed         -> 97
Total number of cycles                 -> 101
CPI without memory stalls              -> 1.04124
Total Number of stalls                 -> 4
Number of control Instructions         -> 30
Number of ALU Instructions             -> 45
Number of load/store Instructions      -> 18
Number of branch mispredictions        -> 4
Number of data hazards                 -> 40
Number of control hazards              -> 4
Number of stalls due to data hazards   -> 0
Number of stalls due to control hazards-> 4
